Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2019 Feb,4105,213991,88706,10522,52211,33685,44283,339550,38921,42977,69885,62241,9321,88926,1327,6277,446,1896,662,765,4409,13833,56240,2489,4049,4220,19884,41522,10085,7435,3441,1737,8145,4065,5707,8564,62481,66199,6831,341,842,1845,53990
  2019 Jan,5953,261622,88293,11074,49245,34822,32747,320581,30056,40086,66402,72704,9960,104562,1959,6367,420,2374,1174,963,4805,14958,67151,2632,3542,3642,18052,46784,10910,8212,2902,1999,12763,4212,7721,9232,59288,122672,12969,349,973,3566,63895
  2018 Dec,10490,321060,142986,12753,72787,37270,37772,238194,36982,24048,63738,42223,11297,117495,2373,9116,292,1682,778,1304,6704,13614,64115,2481,2660,3357,12922,39214,8637,6999,2570,1582,7989,4053,6588,8809,46047,104928,11860,435,2835,6378,53800
  2018 Nov,6118,226425,117793,11846,66526,38796,38089,220053,32620,25608,73787,50634,9001,121319,1464,8097,342,1704,375,768,5652,12031,56184,2727,2631,2585,16162,29465,5973,7686,2611,1862,7139,5173,4308,8447,48748,74827,8603,289,1894,2154,48469
  2018 Oct,5017,225244,103676,12874,68218,65734,41185,247664,34865,30334,74019,53926,11206,114000,1643,9312,233,2073,370,703,5129,8923,46260,2670,3097,2867,15717,28808,5777,7839,2608,1842,5274,5138,4051,9085,48279,95096,12404,393,915,2712,50200
  2018 Sep,6133,224629,106880,10211,57241,40580,43407,239824,35588,32317,77013,47734,10074,102251,1808,9442,551,2379,385,807,5174,7669,42379,2586,2519,2021,13550,28000,7349,7998,2124,1762,4456,6652,2306,7084,53207,107933,13767,372,746,3084,43157
  2018 Aug,5168,217787,103490,10759,63556,40452,60051,380108,56484,46429,100491,62729,11010,100744,2519,12264,874,1931,2347,1677,10476,9887,46269,4142,2525,1156,28097,29525,22950,12488,2206,2069,5014,11978,2708,8406,51036,83185,12669,368,956,3052,51090
  2018 Jul,5769,263277,94611,13189,64757,53379,79816,361019,52507,52987,68146,57823,10784,117798,3833,10183,923,1756,1634,1708,9444,9182,60786,4902,4796,1835,21991,25215,7779,11596,4842,2515,4158,7079,4279,10670,44778,108107,16705,423,1240,3606,51069
  2018 Jun,5897,332990,113049,12008,68932,38113,69697,242118,38115,34122,53413,45325,11161,154945,2550,7904,822,1426,751,1183,4969,6964,57674,1845,1868,1876,10706,17397,4997,5647,2464,1741,3960,3811,2677,5025,30952,90665,13120,240,659,2772,38129
  2018 May,5250,227536,91244,12274,83657,49858,53025,264802,36379,28056,53474,46720,9341,196072,1492,8880,551,1288,280,452,4811,9354,45553,1874,1996,1379,15071,20136,5299,6932,1483,1514,5265,3770,2143,6849,33852,78210,10907,271,721,2237,40633
  2018 Apr,5766,235260,98351,16422,79128,61015,48758,291119,41414,35913,50253,44550,10084,122229,1893,15128,937,1775,511,625,6215,10655,50463,2938,2734,2203,18647,26640,6599,7996,2449,1841,7017,4483,3620,9584,54566,99046,11412,427,1337,3373,48872
  2018 Mar,8171,260685,109897,13797,62876,47744,41109,274879,41979,30448,83064,49127,11243,105560,2382,8101,4963,2115,624,903,8694,14317,61354,3029,4091,3963,17579,36973,7967,7772,3883,2232,9516,5684,6403,9691,68106,87152,8005,466,749,3210,53903
  2018 Feb,5105,221178,85212,9594,45279,34566,42823,366616,36433,47769,68191,53161,9397,81797,1302,7316,1777,2138,566,523,4311,13438,54240,2591,4597,4780,18539,36701,8919,7699,3517,1737,8901,4399,6765,9607,57901,63229,6311,265,1006,1899,49875
  2018 Jan,6076,265384,86833,9883,45184,38143,35882,291208,29758,34907,64087,75502,11716,108067,2071,8059,1673,2118,1173,1276,4689,13482,57991,2482,3903,4558,15788,38733,9760,7680,3204,1980,15838,4664,7574,9137,51537,114846,11914,419,1041,3934,59205
  2017 Dec,10761,330156,135260,13462,65926,38710,38618,244241,36712,21430,63553,43484,12479,114738,2521,12684,1304,1571,726,817,7163,10443,54367,2218,2530,3392,11852,28863,5201,6504,2235,1525,7896,4041,6052,8508,42007,105085,10801,382,2174,6040,51184
