YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-12,WEEKDAY,15,TRAIN,EW8/CC9,46508,41139
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,NS25/EW13,178,128
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3021,2123
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,EW29,6734,4579
2024-12,WEEKDAY,12,TRAIN,NE5,11486,14884
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,NE16/STC,23520,13908
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,EW24/NS1,51500,16465
2024-12,WEEKDAY,15,TRAIN,DT29,4720,5359
2024-12,WEEKDAY,23,TRAIN,DT3,631,4353
2024-12,WEEKDAY,13,TRAIN,CC26,4565,4510
2024-12,WEEKDAY,18,TRAIN,EW25,13239,32250
2024-12,WEEKENDS/HOLIDAY,14,TRAIN,NS28,2540,3156
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,EW17,11807,13647
2024-12,WEEKDAY,8,TRAIN,EW26,95278,32214
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,NS4/BP1,542,2690
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,EW5,16352,17275
2024-12,WEEKENDS/HOLIDAY,18,TRAIN,CC25,3246,3181
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,NS2,12216,13529
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,EW24/NS1,36920,47920
2024-12,WEEKDAY,6,TRAIN,TE12,468,4249
2024-12,WEEKDAY,5,TRAIN,EW10,3202,505
2024-12,WEEKDAY,5,TRAIN,CC19/DT9,231,431
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,NS4/BP1,19434,23174
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,NE13,3502,2829
2024-12,WEEKDAY,9,TRAIN,DT5,18919,12214
2024-12,WEEKDAY,21,TRAIN,NS28,1001,1030
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,SW6,377,2075
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,EW7,9265,5481
2024-12,WEEKDAY,13,TRAIN,NS23,39751,48322
2024-12,WEEKDAY,10,TRAIN,TE28,3990,1677
2024-12,WEEKDAY,21,TRAIN,PE6,4320,6373
2024-12,WEEKDAY,18,TRAIN,NE12/CC13,90962,172415
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,TE22,3215,6623
2024-12,WEEKDAY,0,TRAIN,NS4/BP1,1739,4670
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,NE4/DT19,16185,36764
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,EW6,6780,3621
2024-12,WEEKDAY,9,TRAIN,SW1,2864,3308
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,EW29,385,1472
2024-12,WEEKDAY,18,TRAIN,EW4,34679,30551
2024-12,WEEKDAY,6,TRAIN,NS21/DT11,20518,24535
2024-12,WEEKDAY,9,TRAIN,EW2/DT32,66250,40582
2024-12,WEEKDAY,23,TRAIN,CG1/DT35,3282,1415
2024-12,WEEKDAY,6,TRAIN,NS17/CC15,31136,12286
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,NE1/CC29,48325,35840
2024-12,WEEKDAY,0,TRAIN,SW6,30,778
2024-12,WEEKENDS/HOLIDAY,10,TRAIN,NS16,23639,14600
2024-12,WEEKDAY,0,TRAIN,TE1,21,363
2024-12,WEEKDAY,17,TRAIN,DT7,7648,6015
2024-12,WEEKDAY,15,TRAIN,TE28,2336,3725
2024-12,WEEKDAY,5,TRAIN,CC6,127,50
2024-12,WEEKDAY,13,TRAIN,BP4,1701,1839
2024-12,WEEKDAY,9,TRAIN,DT27,11123,16497
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,TE25,244,96
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,DT5,10832,5862
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,BP2,1406,327
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,EW26,12460,18762
2024-12,WEEKENDS/HOLIDAY,5,TRAIN,SW8,213,14
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,EW9,12845,19170
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,NE12/CC13,9970,3683
2024-12,WEEKDAY,16,TRAIN,NE11,19078,15454
2024-12,WEEKDAY,10,TRAIN,CC14,5973,3103
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,CC28,181,1021
2024-12,WEEKDAY,21,TRAIN,NS11,19696,57595
2024-12,WEEKDAY,13,TRAIN,DT34,4138,4684
2024-12,WEEKDAY,9,TRAIN,TE16,10153,9251
2024-12,WEEKDAY,17,TRAIN,NS16,57175,76982
2024-12,WEEKENDS/HOLIDAY,17,TRAIN,DT3,4804,4020
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,TE1,2539,737
2024-12,WEEKENDS/HOLIDAY,14,TRAIN,EW21/CC22,10677,9667
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,SW6,3,333
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,NS5,13446,4856
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,NE10,7335,5491
2024-12,WEEKENDS/HOLIDAY,15,TRAIN,EW19,7017,7799
2024-12,WEEKENDS/HOLIDAY,14,TRAIN,EW33,2283,1503
2024-12,WEEKDAY,7,TRAIN,NE1/CC29,17350,63356
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,TE14/NS22,75922,49882
2024-12,WEEKDAY,6,TRAIN,DT28,12649,6754
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,DT17,3949,2247
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,NS18,2067,9560
2024-12,WEEKDAY,22,TRAIN,EW14/NS26,39489,14371
2024-12,WEEKDAY,17,TRAIN,NE1/CC29,105789,64292
2024-12,WEEKDAY,14,TRAIN,TE15,9570,9198
2024-12,WEEKDAY,7,TRAIN,DT22,14291,8466
2024-12,WEEKDAY,21,TRAIN,SE5,785,3766
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,214,68
2024-12,WEEKDAY,21,TRAIN,EW20,7785,12903
2024-12,WEEKDAY,8,TRAIN,CC17/TE9,16580,16352
2024-12,WEEKDAY,16,TRAIN,CC28,3413,3728
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,CC4/DT15,536,1843
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,SE4,98,1011
2024-12,WEEKDAY,5,TRAIN,TE29,194,5
2024-12,WEEKDAY,12,TRAIN,BP9,2517,1846
2024-12,WEEKENDS/HOLIDAY,18,TRAIN,TE14/NS22,77118,64303
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,NE10,9657,6291
2024-12,WEEKDAY,9,TRAIN,SE3,4912,1131
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,TE29,8,237
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,PE6,4467,3140
2024-12,WEEKDAY,12,TRAIN,CC4/DT15,18207,33141
2024-12,WEEKDAY,13,TRAIN,DT7,3191,3535
2024-12,WEEKDAY,20,TRAIN,TE26,11539,8331
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,NE16/STC,18035,7926
2024-12,WEEKDAY,8,TRAIN,TE15,11499,14148
2024-12,WEEKDAY,0,TRAIN,CC12,54,726
2024-12,WEEKDAY,21,TRAIN,CC19/DT9,3915,3365
2024-12,WEEKDAY,18,TRAIN,EW29,63180,14618
2024-12,WEEKDAY,12,TRAIN,TE3,11917,10414
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,EW5,8982,18636
2024-12,WEEKDAY,5,TRAIN,NS14,14794,2632
2024-12,WEEKDAY,21,TRAIN,TE29,851,3964
2024-12,WEEKDAY,7,TRAIN,NE11,15938,16061
2024-12,WEEKDAY,12,TRAIN,TE25,3063,2349
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,NE11,3552,4862
2024-12,WEEKDAY,17,TRAIN,CG2,36635,24028
2024-12,WEEKDAY,15,TRAIN,BP12,1918,1306
2024-12,WEEKDAY,22,TRAIN,NS13,24559,64123
2024-12,WEEKDAY,12,TRAIN,CC19/DT9,6693,6663
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,TE25,1596,716
2024-12,WEEKDAY,8,TRAIN,PE6,13065,6290
2024-12,WEEKDAY,14,TRAIN,EW17,21782,22718
2024-12,WEEKENDS/HOLIDAY,18,TRAIN,PW5,1734,3188
